City_ID,City,Country,Max Temp,Current Description,Lat,Lng,Hotel Name
298,Sumenep,ID,79.0,scattered clouds,-7.02,113.87,OYO 3271 Homestay Pandian
301,Ugoofaaru,MV,83.25,clear sky,5.67,73.0,Ungoofaaru Inn
316,Soria,ES,82.99,scattered clouds,41.67,-2.67,Casa Rural Sierra de Inodejo
321,Champerico,GT,86.0,broken clouds,14.3,-91.92,"Hotel y restaurante ""El Diamante"""
322,Hays,US,84.99,overcast clouds,30.05,-98.03,Sinya on Lone Man Creek
324,Manokwari,ID,78.49,overcast clouds,-0.87,134.08,Swiss Belhotel Manokwari
326,Makakilo City,US,75.2,few clouds,21.35,-158.09,Marriott's Ko Olina Beach Club
327,Padre Bernardo,BR,87.44,clear sky,-15.35,-48.5,
328,Olinda,BR,75.2,light rain,-8.01,-34.86,Hotel 5 Sóis
333,Chabahar,IR,85.71,few clouds,25.29,60.64,هتل گدروشیا
335,Manggar,ID,81.82,broken clouds,-2.88,108.27,Guest Hotel
336,Manavalakurichi,IN,82.4,mist,8.13,77.3,Udaya Boys Hostel
339,Coquimatlan,MX,86.0,broken clouds,19.2,-103.8,Maria de la Luz Olague Carrasco
344,Awjilah,LY,86.23,clear sky,29.11,21.29,
345,Carbonia,IT,86.0,few clouds,39.17,8.52,Lu 'Hotel
346,Vila Velha,BR,75.2,scattered clouds,-20.33,-40.29,Hotel Vitória Palace
348,Auki,SB,78.3,overcast clouds,-8.77,160.7,Auki Motel
354,Yulin,CN,77.38,broken clouds,22.63,110.15,罗弟天海大厦
361,Bemidji,US,84.0,clear sky,47.47,-94.88,Hampton Inn & Suites Bemidji
363,Shelburne,CA,79.0,few clouds,44.08,-80.2,The Retreat at the Farm
365,Tabora,TZ,75.2,few clouds,-5.02,32.8,Barcelona Lodge
366,Uvalde,US,84.2,overcast clouds,29.37,-99.77,
367,Agua Prieta,MX,82.99,clear sky,31.3,-109.57,Hotel Real de Agua Prieta
368,Hirara,JP,83.34,overcast clouds,24.8,125.28,Hotel Atoll Emerald Miyakojima
370,Kirakira,SB,78.98,scattered clouds,-10.45,161.92,SanBiz Lodge
372,Nampula,MZ,77.0,broken clouds,-15.12,39.27,Tacab Residencial
376,Marsh Harbour,BS,83.05,scattered clouds,26.54,-77.06,Abaco Beach Resort
379,Busko-Zdroj,PL,80.01,clear sky,50.47,20.72,Gromada
381,Nouadhibou,MR,77.0,sand,20.93,-17.03,El Medina
382,Road Town,VG,87.8,light intensity shower rain,18.42,-64.62,"ZINGARA 76ft Catamaran, full crew-all included"
383,Lalmohan,BD,83.26,scattered clouds,22.34,90.74,Sundorbon courier service
384,Yangliuqing,CN,77.0,light rain,39.14,117.0,Thank U Express Tianjin Kaiyuan Road
389,Akdepe,TM,78.8,overcast clouds,42.06,59.38,Мой дом
392,Kindia,GN,81.55,broken clouds,10.06,-12.87,LES EAUX DE KILISSI
399,Babai,IN,78.04,overcast clouds,22.7,77.93,G loading service babai
400,Cockburn Town,TC,86.0,scattered clouds,21.46,-71.14,Osprey Beach Hotel
402,Bubaque,GW,82.11,scattered clouds,11.28,-15.83,Casa Dora
404,Huangzhou,CN,77.0,few clouds,30.45,114.8,Manjianghong Business Hotel
406,Touros,BR,86.0,scattered clouds,-5.2,-35.46,INN NEW HORIZON
408,Gazanjyk,TM,84.56,broken clouds,39.24,55.52,Railway motel
409,Marietta,US,86.0,broken clouds,33.95,-84.55,Hilton Atlanta/Marietta Hotel & Conference Center
412,Kieta,PG,79.21,broken clouds,-6.22,155.63,
415,Sola,VU,80.26,scattered clouds,-13.88,167.55,Leumerus Bungalows
422,Coahuayana,MX,86.0,broken clouds,18.73,-103.68,Hotel Los Arcos
428,Hambantota,LK,82.33,overcast clouds,6.12,81.12,Bungalow 63
434,Tubuala,PA,82.99,broken clouds,9.52,-79.03,
444,Guarapari,BR,75.2,scattered clouds,-20.67,-40.5,Hotel Porto do Sol
445,Razole,IN,84.76,overcast clouds,16.48,81.83,Sterling Palavelli Godavari - Resorts and Hotels
447,Birao,CF,84.33,few clouds,10.28,22.79,
454,Sibolga,ID,77.05,broken clouds,1.74,98.78,Hotel Syariah CN Darussalam
455,Dahuk,IQ,86.2,clear sky,36.87,42.99,Parwar Hotel
459,Kalmunai,LK,83.89,overcast clouds,7.42,81.82,VS Villa
460,Kota Kinabalu,MY,75.2,few clouds,5.97,116.07,Gaya Centre Hotel
461,Caravelas,BR,76.78,clear sky,-17.71,-39.25,Pousada dos Navegantes
462,Bandarbeyla,SO,80.51,clear sky,9.49,50.81,REER XOOSHLE GROUP
465,Bathsheba,BB,87.8,scattered clouds,13.22,-59.52,Atlantis Hotel
469,Sistranda,NO,75.2,shower rain,63.73,8.83,Hotell Frøya
476,Port-Gentil,GA,75.2,scattered clouds,-0.72,8.78,Fengshui Residence
480,Posse,BR,84.2,clear sky,-14.09,-46.37,Pousada das Palmeiras
487,Mazurivka,UA,78.8,broken clouds,49.27,24.21,
491,Siniscola,IT,84.2,clear sky,40.57,9.69,Hotel Velasole
496,Malangwa,NP,79.99,scattered clouds,26.86,85.56,Prem Meat House
497,Puerto Escondido,MX,87.8,scattered clouds,15.85,-97.07,Aldea del Bazar Hotel and Spa
511,Dwarka,IN,87.17,broken clouds,22.24,68.97,Hotel Narayan Avezika Comfort
512,Faanui,PF,76.33,broken clouds,-16.48,-151.75,Bora-Bora Pearl Beach Resort & Spa
513,Yanam,IN,84.02,overcast clouds,16.73,82.22,The Regency Hotel
517,Acapulco,MX,89.6,clear sky,16.86,-99.89,HS Hotsson Smart Acapulco
519,Cabedelo,BR,86.0,scattered clouds,-6.98,-34.83,Lua Mansa Pousada
522,Westport,US,88.0,clear sky,41.14,-73.36,The Westport Inn
524,Yenagoa,NG,75.13,overcast clouds,4.92,6.26,Amba Hotels Limited
527,Almenara,BR,81.88,scattered clouds,-16.18,-40.69,Pousada Sol Nascente 1
528,Eregli,TR,75.94,clear sky,37.51,34.05,Hotel Fuat Bey
533,Santa Rosa,PH,80.01,broken clouds,14.31,121.11,Amethyst Econotel
534,Palafrugell,ES,84.99,clear sky,41.92,3.16,Hotel Garbi
536,Gat,IL,81.0,clear sky,31.61,34.76,רגע בנחת
538,Eydhafushi,MV,83.57,few clouds,5.1,73.07,Soneva Fushi
539,Buta,CD,79.3,overcast clouds,2.79,24.73,HOTEL BISO NA BISO
540,Mason City,US,81.0,scattered clouds,43.15,-93.2,Days Inn by Wyndham Mason City
541,Jalapa,MX,76.82,clear sky,19.53,-96.92,Hotel Mision Xalapa Plaza de las Convenciones
542,Sechura,PE,76.12,scattered clouds,-5.56,-80.82,Hospedaje Costa Bella
543,Ca Mau,VN,79.27,overcast clouds,9.18,105.15,Khách Sạn Mường Thanh Luxury Cà Mau
