City_ID,City,Country,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Current Description,Rain (inches),Snow (inches)
68,Urumqi,CN,43.8,87.6,60.8,63,92,4.47,overcast clouds,0.0,0.0
69,Sibenik,HR,43.73,15.91,87.8,38,0,12.75,clear sky,0.0,0.0
70,Butaritari,KI,3.07,172.79,82.47,73,24,12.86,few clouds,0.0,0.0
71,Saskylakh,RU,71.92,114.08,69.76,53,71,7.99,broken clouds,0.0,0.0
72,Terrace,CA,54.52,-128.6,59.0,67,5,5.82,clear sky,0.0,0.0
73,Vaasa,FI,63.1,21.62,73.4,43,2,10.29,clear sky,0.0,0.0
74,San Lawrenz,MT,36.06,14.2,82.4,42,0,6.93,clear sky,0.0,0.0
75,North Bend,US,43.41,-124.22,61.0,82,90,11.41,overcast clouds,0.0,0.0
76,Los Llanos De Aridane,ES,28.66,-17.92,75.2,73,75,20.8,broken clouds,0.0,0.0
77,Hithadhoo,MV,-0.6,73.08,85.6,67,99,6.91,overcast clouds,0.0,0.0
78,Zhigansk,RU,66.77,123.37,62.83,60,0,12.08,clear sky,0.0,0.0
79,Bosaso,SO,11.28,49.18,95.0,40,40,10.98,scattered clouds,0.0,0.0
80,Bethel,US,41.37,-73.41,86.0,61,40,8.05,scattered clouds,0.0,0.0
81,Constitucion,CL,-35.33,-72.42,54.86,92,100,17.6,moderate rain,2.78,0.0
82,Bang Yai,TH,13.84,100.36,86.0,79,40,8.05,scattered clouds,0.0,0.0
83,Labuhan,ID,-6.88,112.21,76.69,85,4,7.14,clear sky,0.0,0.0
84,Jhunjhunun,IN,28.13,75.4,99.43,28,0,15.39,clear sky,0.0,0.0
85,Sao Filipe,CV,14.9,-24.5,78.82,64,9,12.41,clear sky,0.0,0.0
86,Hilo,US,19.73,-155.09,73.4,78,90,5.82,overcast clouds,0.0,0.0
87,Tiksi,RU,71.69,128.87,38.82,74,93,1.86,overcast clouds,0.0,0.0
88,Chapadinha,BR,-3.74,-43.36,89.78,50,23,5.14,few clouds,0.0,0.0
89,Waspan,NI,14.74,-83.97,84.2,79,75,9.19,broken clouds,0.0,0.0
90,Santa Maria,BR,-29.68,-53.81,60.8,67,20,10.29,few clouds,0.0,0.0
91,Mataura,NZ,-46.19,168.86,42.04,91,99,3.98,overcast clouds,0.0,0.0
92,Khatanga,RU,71.97,102.5,76.98,40,62,10.69,broken clouds,0.0,0.0
93,Padang,ID,-0.95,100.35,78.67,78,33,3.06,scattered clouds,0.0,0.0
94,Tessalit,ML,20.2,1.01,106.27,7,35,8.52,scattered clouds,0.0,0.0
95,Pineville,US,31.32,-92.43,91.0,66,75,11.41,broken clouds,0.0,0.0
96,Arraial Do Cabo,BR,-22.97,-42.03,71.6,94,75,6.93,light intensity drizzle,0.0,0.0
97,Oktyabrskiy,RU,54.48,53.47,49.64,90,59,5.7,broken clouds,0.0,0.0
98,Menongue,AO,-14.66,17.69,60.55,33,0,3.6,clear sky,0.0,0.0
99,Klenovyy,UA,48.12,39.46,69.42,65,29,2.98,scattered clouds,0.0,0.0
100,Hasaki,JP,35.73,140.83,68.0,100,75,2.24,broken clouds,0.0,0.0
101,Naze,JP,28.37,129.48,78.8,100,90,6.93,overcast clouds,0.0,0.0
102,Puerto Cabezas,NI,14.04,-83.39,86.0,84,40,11.41,haze,0.0,0.0
103,Maragogi,BR,-9.01,-35.22,78.03,82,38,12.33,moderate rain,1.13,0.0
104,Mao,ES,39.89,4.27,80.6,69,20,3.36,few clouds,0.0,0.0
105,El Penon,CO,8.99,-73.95,90.93,58,100,1.97,light rain,0.24,0.0
