City_ID,City,Country,Date,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed
69,Thompson,CA,2020-06-24 22:17:07,55.74,-97.86,84.2,28,75,12.75
70,Kembe,CF,2020-06-24 22:17:07,4.62,21.89,71.29,91,91,2.3
71,Busselton,AU,2020-06-24 22:14:11,-33.65,115.33,50.0,73,98,6.93
72,Souillac,MU,2020-06-24 22:14:09,-20.52,57.52,71.6,83,40,9.17
73,Ponta Do Sol,PT,2020-06-24 22:17:07,32.67,-17.1,71.6,60,20,9.17
74,Dingle,PH,2020-06-24 22:17:08,11.0,122.67,78.71,85,100,4.79
75,Chirongui,YT,2020-06-24 22:17:08,-12.93,45.15,78.8,74,0,12.75
76,Port-Gentil,GA,2020-06-24 22:17:08,-0.72,8.78,75.2,88,90,12.75
77,Touros,BR,2020-06-24 22:17:08,-5.2,-35.46,75.2,78,100,4.7
78,Vuktyl,RU,2020-06-24 22:17:08,63.86,57.31,38.23,96,27,7.38
79,Kokopo,PG,2020-06-24 22:17:09,-4.35,152.26,82.42,75,2,11.43
80,Iqaluit,CA,2020-06-24 22:13:57,63.75,-68.51,46.0,81,90,3.36
81,Faanui,PF,2020-06-24 22:16:03,-16.48,-151.75,79.75,83,18,9.15
82,Lubango,AO,2020-06-24 22:17:09,-14.92,13.49,54.79,41,0,2.91
83,Kavaratti,IN,2020-06-24 22:14:37,10.57,72.64,83.23,75,99,12.28
84,Dangara,IN,2020-06-24 22:17:09,29.68,75.89,90.57,50,0,6.42
85,Tezontepec,MX,2020-06-24 22:17:09,19.88,-98.82,64.4,72,90,16.11
86,Port Alfred,ZA,2020-06-24 22:17:09,-33.59,26.89,68.0,31,0,7.0
87,Tahe,CN,2020-06-24 22:17:09,52.33,124.73,58.33,70,50,1.86
88,Cape Town,ZA,2020-06-24 22:14:01,-33.93,18.42,60.01,67,1,11.41
89,Glasgow,GB,2020-06-24 22:15:13,55.87,-4.26,61.0,93,12,3.36
90,Kapaa,US,2020-06-24 22:17:10,22.08,-159.32,82.4,65,1,10.29
91,Kurmanayevka,RU,2020-06-24 22:17:10,52.51,52.07,56.07,94,100,5.35
92,Mantua,IT,2020-06-24 22:14:43,45.17,10.78,73.0,60,19,3.0
93,Maceio,BR,2020-06-24 22:13:22,-9.67,-35.74,73.4,94,20,4.7
94,Warrnambool,AU,2020-06-24 22:17:10,-38.38,142.48,48.99,93,1,14.2
95,Yamada,JP,2020-06-24 22:17:10,39.47,141.95,62.94,86,100,3.8
96,Puerto Escondido,MX,2020-06-24 22:15:47,15.85,-97.07,86.0,70,90,4.7
97,Lahaina,US,2020-06-24 22:14:52,20.88,-156.68,87.8,78,75,11.41
98,Sola,VU,2020-06-24 22:14:16,-13.88,167.55,80.6,94,90,12.35
99,Batagay-Alyta,RU,2020-06-24 22:17:11,67.8,130.41,77.18,31,69,0.74
100,Gwadar,PK,2020-06-24 22:17:11,25.12,62.33,84.9,79,2,2.64
101,Lata,PT,2020-06-24 22:17:09,40.16,-8.33,64.99,82,22,3.56
102,Palasa,IN,2020-06-24 22:17:11,18.77,84.42,81.18,87,64,5.99
103,General Roca,AR,2020-06-24 22:17:11,-39.03,-67.58,48.2,49,84,4.7
104,Chavakkad,IN,2020-06-24 22:17:11,10.53,76.05,77.0,94,75,4.7
105,Sangar,RU,2020-06-24 22:17:11,63.92,127.47,66.15,50,0,5.1
106,Norman Wells,CA,2020-06-24 22:17:11,65.28,-126.83,50.0,87,90,10.29
107,Lucapa,AO,2020-06-24 22:17:11,-8.42,20.74,65.44,34,0,4.18
108,Guerrero Negro,MX,2020-06-24 22:17:11,27.98,-114.06,73.87,56,9,17.0
109,Muyezerskiy,RU,2020-06-24 22:17:11,63.93,31.65,64.45,67,100,9.51
110,Huilong,CN,2020-06-24 22:17:11,31.81,121.66,75.99,94,100,6.42
111,Provideniya,RU,2020-06-24 22:17:11,64.38,-173.3,42.8,62,75,13.42
112,Kampong Cham,KH,2020-06-24 22:17:12,11.99,105.46,77.72,90,87,4.16
113,Avera,US,2020-06-24 22:13:58,33.19,-82.53,87.8,52,40,9.17
114,Jamestown,US,2020-06-24 22:13:32,42.1,-79.24,69.01,52,20,13.87
115,Grand Gaube,MU,2020-06-24 22:17:12,-20.01,57.66,70.0,85,8,5.99
116,East London,ZA,2020-06-24 22:17:12,-33.02,27.91,68.88,26,0,6.62
117,Narsaq,GL,2020-06-24 22:17:12,60.92,-46.05,46.4,75,100,3.36
118,Nome,US,2020-06-24 22:14:13,64.5,-165.41,46.99,49,90,5.82
119,Hithadhoo,MV,2020-06-24 22:17:12,-0.6,73.08,83.08,78,98,10.58
120,Warri,NG,2020-06-24 22:13:33,5.52,5.75,76.14,94,96,3.02
121,Kahului,US,2020-06-24 22:12:51,20.89,-156.47,87.8,52,40,18.34
122,Airai,TL,2020-06-24 22:16:00,-8.93,125.41,57.24,100,47,3.76
123,Picton,AU,2020-06-24 22:15:23,-34.18,150.6,48.0,93,0,6.58
124,Sakakah,SA,2020-06-24 22:17:12,29.97,40.21,84.2,13,2,14.99
125,Winkler,CA,2020-06-24 22:16:07,49.18,-97.94,78.8,36,1,3.22
126,Alice Springs,AU,2020-06-24 22:15:15,-23.7,133.88,32.0,75,1,5.82
127,Katsuura,JP,2020-06-24 22:17:13,35.13,140.3,68.0,100,75,4.7
128,Birin,NP,2020-06-24 22:14:33,26.89,88.07,64.15,100,86,1.45
129,Vestmannaeyjar,IS,2020-06-24 22:17:13,63.44,-20.27,51.39,86,43,2.64
